Czas podrozy, Zarobek, Stworzony w generacji
2084725.0999543832, 259781, 12
2107855.990143123, 265622, 12
2015153.6845781014, 266863, 12
2036005.1922664715, 257614, 12
2095640.8324729428, 261374, 12
2041510.9524599812, 260714, 12
2090784.2399431325, 258477, 12
2119141.3417703914, 270966, 12
Czas podrozy, Zarobek, Stworzony w generacji
2071859.6768704231, 266838, 13
2150141.229004392, 277841, 13
2069847.5080845717, 260776, 13
2093689.1424900303, 265622, 13
2000570.7575283702, 266863, 13
2007398.0345646765, 255826, 13
2084216.2703624694, 261374, 13
2027668.3454492013, 260714, 13
2080493.7836902197, 258149, 13
2112882.496637435, 270966, 13
Czas podrozy, Zarobek, Stworzony w generacji
2061126.0246441967, 265596, 14
2138168.40024466, 277841, 14
2061606.5914290566, 260776, 14
2074573.8787478853, 265622, 14
1992996.0121148836, 267694, 14
1997929.7997787723, 255826, 14
2079193.7239164668, 261374, 14
1996914.0475265256, 258273, 14
2048748.4537267708, 255882, 14
2056955.2390441685, 268108, 14
Czas podrozy, Zarobek, Stworzony w generacji
2038693.7213192175, 265397, 15
2130642.6368382876, 277841, 15
2058077.6404087567, 261073, 15
2069732.9826007828, 265622, 15
1983317.5121351588, 267694, 15
1984399.197286045, 255826, 15
2045666.8175861433, 260016, 15
1986438.2935469944, 259564, 15
2038480.0218037243, 255882, 15
2052166.2614658542, 268108, 15
Czas podrozy, Zarobek, Stworzony w generacji
2024826.2541532302, 264664, 16
2104361.1125528305, 275380, 16
2050500.3831851478, 261073, 16
2054249.2799386496, 262925, 16
1978378.7733589888, 267694, 16
1976834.0294273675, 255826, 16
2031887.6088206675, 260016, 16
1982815.3104349158, 259564, 16
2025020.6468587816, 255882, 16
2024150.9350712858, 266556, 16
Czas podrozy, Zarobek, Stworzony w generacji
2001334.3411662106, 261388, 17
2097704.5445300005, 275380, 17
2042056.0298316842, 261073, 17
2046400.3615760207, 263905, 17
1973829.1724843588, 267694, 17
1964581.8035601543, 255826, 17
2023150.7211381188, 260016, 17
1975475.1860235834, 259564, 17
2013145.9600214676, 255882, 17
2009026.7713229973, 266556, 17
Czas podrozy, Zarobek, Stworzony w generacji
1989607.1203132377, 261388, 18
2092989.684267437, 275380, 18
2031504.0319647808, 261073, 18
2038109.597409705, 264202, 18
1960065.936127103, 267252, 18
1955073.6932977207, 256235, 18
2015501.5146549772, 260166, 18
1968888.6776106758, 259564, 18
1999799.6475780087, 256379, 18
2003655.4120403412, 266556, 18
Czas podrozy, Zarobek, Stworzony w generacji
1981529.8942056012, 261388, 19
2085750.4963742988, 275380, 19
2017799.4749119235, 261073, 19
2031737.472223454, 266401, 19
1943583.0905325531, 267252, 19
1943532.2763484356, 256235, 19
2010790.0578972243, 260166, 19
1958094.4456515228, 259564, 19
1991457.7044519978, 256379, 19
1996057.8688191175, 266556, 19
Czas podrozy, Zarobek, Stworzony w generacji
1969570.1910079974, 261388, 20
2076937.126792096, 275380, 20
1976679.6764590424, 257698, 20
2012961.6682537375, 264502, 20
1922935.0770809704, 267252, 20
1932503.5032435565, 256235, 20
1999976.940500021, 259358, 20
1947825.5589517627, 258729, 20
1986139.9943145066, 256379, 20
1984890.7543797814, 266556, 20
Czas podrozy, Zarobek, Stworzony w generacji
1965752.3153408736, 262066, 21
2067298.3871892253, 275380, 21
1971952.5802295508, 258185, 21
2005826.2339249142, 264502, 21
1914780.4059751276, 266869, 21
1922815.2706751442, 256235, 21
1988765.2683258269, 259008, 21
1940698.1499017836, 258729, 21
1984183.7438703575, 256379, 21
1979960.0922786284, 267527, 21
Czas podrozy, Zarobek, Stworzony w generacji
1956392.9641631867, 262066, 22
2061093.2486568047, 275380, 22
1957808.3452669475, 258920, 22
2002308.5379345096, 264971, 22
1906931.223402019, 266136, 22
1913886.7134067265, 256235, 22
1984781.835884226, 259008, 22
1928291.588999333, 258729, 22
1972514.555999683, 256379, 22
1968848.7087872007, 267527, 22
Czas podrozy, Zarobek, Stworzony w generacji
1948901.1722429248, 262066, 23
1985414.9021214899, 269128, 23
1936766.8246572525, 258920, 23
1979114.336505932, 265403, 23
1902541.9324555558, 266136, 23
1900694.4536960335, 255397, 23
1976852.9994124821, 259206, 23
1914316.7197383163, 258729, 23
1953748.691006738, 256379, 23
1965437.0653525367, 267527, 23
Czas podrozy, Zarobek, Stworzony w generacji
1925737.9420865697, 260832, 24
1965380.3157883198, 270113, 24
1926922.7616068104, 258920, 24
1974377.9159735553, 265403, 24
1893570.9387513078, 266136, 24
1894884.4698406137, 256274, 24
1970245.6590757237, 259004, 24
1893428.794506436, 258729, 24
1942888.4925509843, 256612, 24
1943009.556420896, 265966, 24
Czas podrozy, Zarobek, Stworzony w generacji
1912869.0688798244, 260832, 25
1959601.3091946007, 270113, 25
1913628.7894664193, 258920, 25
1953268.2983692326, 263189, 25
1887025.6642915888, 266136, 25
1888491.7209045843, 256289, 25
1959690.5998734587, 259004, 25
1886664.2280493136, 258729, 25
1936239.452910583, 256612, 25
1926299.7513455034, 265966, 25
Czas podrozy, Zarobek, Stworzony w generacji
1907661.7772876774, 260832, 26
1956027.5022690482, 270113, 26
1900739.8788456765, 258261, 26
1932982.9861203658, 262190, 26
1877286.4599046437, 266136, 26
1877504.8383104287, 256289, 26
1955229.9593241373, 259004, 26
1885077.6331675404, 258729, 26
1927433.6245383804, 256612, 26
1914188.0432543962, 265966, 26
Czas podrozy, Zarobek, Stworzony w generacji
1894853.4223496378, 262198, 27
1953014.975046379, 270113, 27
1892040.511334742, 259628, 27
1923922.4900091507, 262312, 27
1866852.0066576353, 266136, 27
1869961.4931582857, 256289, 27
1948057.7880028412, 259004, 27
1877297.8827355197, 258729, 27
1913559.788805939, 257080, 27
1910075.5521421256, 265966, 27
Czas podrozy, Zarobek, Stworzony w generacji
1886503.895549959, 262198, 28
1940491.499691029, 270113, 28
1880758.8157630821, 259628, 28
1914467.0566015278, 262312, 28
1859428.181775504, 266136, 28
1852136.3277129822, 256289, 28
1935033.3276027155, 259004, 28
1867677.2048741383, 258729, 28
1900627.90013257, 257370, 28
1873901.6297193617, 264465, 28
Czas podrozy, Zarobek, Stworzony w generacji
1881502.6551138086, 262198, 29
1926619.1708065276, 270113, 29
1878684.799397509, 259628, 29
1909185.232081887, 262312, 29
1854703.735678827, 266117, 29
1850045.8817014608, 256289, 29
1894617.2449445182, 257816, 29
1864118.896763285, 258729, 29
1894842.8922442314, 258553, 29
1860992.108617048, 265040, 29
Czas podrozy, Zarobek, Stworzony w generacji
1859257.578585278, 260683, 30
1907857.8035412352, 270113, 30
1863242.466220166, 259628, 30
1902363.1180465731, 262312, 30
1847740.8563957128, 268043, 30
1846988.189958114, 256289, 30
1888702.0331668346, 258774, 30
1827174.6379297215, 255554, 30
1884225.377584532, 258553, 30
1852698.5563447166, 265040, 30
Czas podrozy, Zarobek, Stworzony w generacji
1848512.3577178011, 260683, 31
1896863.7793061603, 270276, 31
1854307.6145863058, 259628, 31
1894996.0572222583, 262312, 31
1839477.1549579566, 268043, 31
1837081.6567299087, 255453, 31
1875142.1447660143, 258774, 31
1813320.6577435695, 254995, 31
1877217.4207117266, 258553, 31
1843767.8670169224, 263437, 31
Czas podrozy, Zarobek, Stworzony w generacji
1843453.853604116, 260683, 32
1891495.8298113756, 270276, 32
1837637.7900795622, 259628, 32
1889418.6048603468, 263913, 32
1832092.4454158526, 266930, 32
1836029.6230948288, 256427, 32
1858098.1660115705, 258774, 32
1808228.2352493557, 254995, 32
1870596.8101029235, 258553, 32
1841922.824760885, 263437, 32
Czas podrozy, Zarobek, Stworzony w generacji
1837234.2277386326, 260683, 33
1886278.6946210791, 270276, 33
1832372.8282513653, 259628, 33
1874149.3336841592, 265232, 33
1823373.1061967853, 266930, 33
1831562.3373585201, 256427, 33
1855915.4098434055, 258774, 33
1805667.0596409962, 254995, 33
1861071.4507744263, 257157, 33
1831121.927003125, 262051, 33
Czas podrozy, Zarobek, Stworzony w generacji
1827242.9160034126, 260683, 34
1880164.184427034, 270276, 34
1819562.2976916276, 259628, 34
1859463.4121425764, 264033, 34
1816949.917700347, 266930, 34
1825131.0834782673, 256427, 34
1848763.2952716576, 258774, 34
1796807.1180128222, 254995, 34
1850468.414722117, 257157, 34
1825748.0417472373, 262051, 34
Czas podrozy, Zarobek, Stworzony w generacji
1813916.7341511068, 260683, 35
1877414.9628907973, 270276, 35
1808926.2374591667, 259628, 35
1852645.0216246224, 264033, 35
1803170.7307223903, 264791, 35
1817761.0023024164, 256427, 35
1836463.3431089493, 258774, 35
1781771.9012296612, 254995, 35
1833290.2809903105, 257157, 35
1816743.2912063836, 262051, 35
Czas podrozy, Zarobek, Stworzony w generacji
1805464.1050687605, 260683, 36
1875054.2949213115, 270276, 36
1803153.875819292, 260139, 36
1845968.2685378876, 264033, 36
1794500.4541510302, 264791, 36
1815279.985664, 256427, 36
1822477.972341338, 258368, 36
1769962.8192253408, 254995, 36
1828881.9383777855, 257157, 36
1812294.298089651, 263080, 36
Czas podrozy, Zarobek, Stworzony w generacji
1801283.9770989139, 260683, 37
1865813.9750445364, 270276, 37
1795342.3717521706, 260139, 37
1838944.4267494804, 264044, 37
1792797.9871849832, 264791, 37
1811423.874171088, 256427, 37
1818716.1533749856, 258368, 37
1755434.7383984348, 254995, 37
1826316.9983571637, 257157, 37
1807304.29592837, 263080, 37
Czas podrozy, Zarobek, Stworzony w generacji
1790036.4429136023, 260683, 38
1858632.6651765583, 270276, 38
1788246.9545826293, 258588, 38
1835074.7310059054, 264044, 38
1780456.2483926467, 264791, 38
1799347.443906556, 256427, 38
1809143.5773404713, 258368, 38
1748991.713940601, 254995, 38
1822984.6332641258, 257157, 38
1798048.4647123646, 263080, 38
Czas podrozy, Zarobek, Stworzony w generacji
1782189.725241024, 258907, 39
1849240.1667766236, 270276, 39
1776455.5196044804, 258163, 39
1823464.8877465986, 262761, 39
1777938.2753966812, 264791, 39
1793852.4085858774, 257279, 39
1798391.2897661447, 258368, 39
1742274.2124086793, 254995, 39
1820096.7290840512, 256556, 39
1794148.0504013738, 263080, 39

